,Category,x
1625,eight,64
1985,fry,64
2922,maker,64
3683,pesto,64
4510,shaving,64
5258,towel,64
302,barbecue,63
671,butterflied,63
1833,fitted,63
2124,grade,63
2166,grenadine,63
2877,macadamia,63
2972,margarine,63
3197,most,63
3928,produce,63
4258,rounded,63
5081,tawny,63
5572,weight,63
591,brioche,62
739,candy,62
1683,escarole,62
2128,grained,62
2172,grilled,62
3048,meaty,62
3465,orzo,62
5297,truffle,62
1172,core,61
1494,disk,61
2083,glas,61
2392,husk,61
2523,jigger,61
4712,sorbet,61
5150,thickly,61
360,before,60
451,block,60
2809,list,60
4020,rabe,60
5005,table,60
2117,gorgonzola,59
2817,live,59
4907,strong,59
1036,clear,58
2721,least,58
2929,maldon,58
3161,mold,58
4280,rutabaga,58
4696,sold,58
5291,triple,58
593,brisket,57
2521,jicama,57
2822,loav,57
3853,pot,57
4080,recipelink,57
4793,springform,57
113,amaretto,56
1111,combination,56
1496,dissolved,56
2432,indian,56
2864,lukewarm,56
3055,medjool,56
4421,sec,56
4818,sriracha,56
154,anjou,55
1667,envelop,55
2195,guajillo,55
2980,marinated,55
2996,marsala,55
3485,out,55
4444,sel,55
4917,stuffed,55
5044,tamarind,55
718,calvado,54
1214,cover,54
1893,foil,54
3647,pepita,54
4127,removable,54
4928,substitute,54
5198,toast,54
1034,clean,53
2220,habanero,53
2305,hen,53
2597,kielbasa,53
2612,kirsch,53
3707,pickle,53
4008,queso,53
4759,spiced,53
400,bibb,52
1948,frenched,52
2662,kumquat,52
4487,shallow,52
5541,wasabi,52
1098,collard,51
1661,enough,51
1784,few,51
2775,like,51
4458,semolina,51
4876,stone,51
1774,fermented,50
1886,fluted,50
2241,hamburger,50
2548,juniper,50
2667,labeled,50
2891,madeira,50
3835,poppy,50
4447,seltzer,50
4721,soup,50
4732,soybean,50
4816,squid,50
5335,tuscan,50
5348,type,50
151,aniseed,49
851,celeriac,49
1135,condensed,49
1307,cultivated,49
2552,kaffir,49
2645,korean,49
4069,ready,49
4300,sake,49
5053,tangerine,49
250,away,48
1198,cottage,48
1867,fleur,48
3136,mission,48
3142,mixer,48
3706,pickl,48
5236,topping,48
276,baker,47
885,chanterelle,47
1711,excluding,47
2619,kiwi,47
3428,online,47
3496,overnight,47
3946,provence,47
109,aluminum,46
122,american,46
315,bartlett,46
1103,color,46
1186,cornish,46
1841,flameproof,46
2160,great,46
2766,lid,46
3007,masa,46
3031,maui,46
3184,morel,46
3687,petite,46
3978,purple,46
4471,serve,46
5338,twelve,46
5415,unthawed,46
5565,wedge,46
81,ale,45
132,anchovi,45
817,cassi,45
1295,crystal,45
1656,endiv,45
1795,filet,45
1874,flounder,45
3144,mixture,45
3906,preserved,45
4743,spatula,45
4905,striped,45
5411,unsulfured,45
5653,wrapped,45
710,calimyrna,44
1538,dozen,44
1670,epi,44
3079,mesclun,44
4667,smooth,44
5129,that,44
119,amber,43
842,caviar,43
1006,ciabatta,43
1991,fuji,43
1998,fusilli,43
2151,grater,43
2167,grey,43
2179,grit,43
2283,heaping,43
2470,iron,43
2815,little,43
3349,northern,43
3675,persian,43
3731,piment,43
4321,sambal,43
4441,segment,43
4538,shoot,43
4626,slab,43
4977,sushi,43
5642,wood,43
457,blossom,42
